Fund,Department,Type,Account,Current,Amount,Revenue,Annotation
General Fund,City Manager,Direct Expenses,Operational & Maint Supplies,7000,0,FALSE,0
General Fund,City Manager,Direct Expenses,Photocopy Maint,3800,-1300,FALSE,0
General Fund,City Manager,Direct Expenses,Print Copy-Rmb,1500,0,FALSE,0
General Fund,City Manager,Direct Expenses,Professional Svcs-Other,,-10000,FALSE,0
General Fund,City Manager,Direct Expenses,Rental-Equipment,200,0,FALSE,0
General Fund,City Manager,Direct Expenses,Rsv-Contingency,120000,-6000,FALSE,0
General Fund,City Manager,Direct Expenses,Small Equipment,1000,0,FALSE,0
General Fund,City Manager,Direct Expenses,Special Projects & Programs,3750,0,FALSE,0
General Fund,City Manager,Direct Expenses,Wireless Data Comm,8000,0,FALSE,0
General Fund,City Manager,Employee Benefits,Dental Insurance,10911.08,281.88,FALSE,0
General Fund,City Manager,Employee Benefits,Dental Insurance Increment,,884.35,FALSE,0
General Fund,City Manager,Employee Benefits,FICA Temp,2454.21,0,FALSE,0
General Fund,City Manager,Employee Benefits,Group Life Ad & Di,1289.62,-52,FALSE,0
General Fund,City Manager,Employee Benefits,Health Insurance,144489.12,-758.88,FALSE,0
General Fund,City Manager,Employee Benefits,Health Insurance Increment,10692.19,21614.84,FALSE,0
General Fund,City Manager,Employee Benefits,Medicare,20777.21,-837.48,FALSE,0
General Fund,City Manager,Employee Benefits,Medicare Temp,573.97,0,FALSE,0
General Fund,City Manager,Employee Benefits,Retirement,103820.85,-571.5,FALSE,0
General Fund,City Manager,Employee Benefits,Social Security,88323.99,-3892.92,FALSE,0
General Fund,City Manager,Employee Benefits,Supplemental Retirement,51795.2,-2738.02,FALSE,0
General Fund,City Manager,Miscellaneous,Licenses/Dues & Publications,165000,-7620,FALSE,0
General Fund,City Manager,Miscellaneous,Mileage Reimb,500,0,FALSE,0
General Fund,City Manager,Miscellaneous,Postage - Dept Charges,800,0,FALSE,0
General Fund,City Manager,Miscellaneous,Records Storage Retention Svcs,1200,0,FALSE,0
General Fund,City Manager,Miscellaneous,Training & Travel & Reg,48500,-2000,FALSE,0
General Fund,City Manager,Salaries and Wages,Expense Allowance,19743,0,FALSE,0
General Fund,City Manager,Salaries and Wages,Longevity,8409.58,849.12,FALSE,0
General Fund,City Manager,Salaries and Wages,Salaries-Ft,1424501.29,-58607.3,FALSE,0
General Fund,City Manager,Salaries and Wages,Salaries-Pt Temp/Seasonal,19841,0,FALSE,0
General Fund,Community Svcs,Direct Expenses,Cellular/Wireless Voice Lines,350,0,FALSE,0
General Fund,Community Svcs,Direct Expenses,Computer Lease,11635,-581.48,FALSE,0
General Fund,Community Svcs,Direct Expenses,Contractual Svcs-Other,36852,-5536,FALSE,0
General Fund,Community Svcs,Direct Expenses,Copier Maintenance/Impressions,3842,0,FALSE,0
General Fund,Community Svcs,Direct Expenses,Motor Fuels & Lubricants,1983,0,FALSE,0
General Fund,Community Svcs,Direct Expenses,Office Supplies,10500,0,FALSE,0
General Fund,Community Svcs,Direct Expenses,Operational & Maint Supplies,65286,1910,FALSE,0
General Fund,Community Svcs,Direct Expenses,Photocopy Maint,2187,0,FALSE,0
General Fund,Community Svcs,Direct Expenses,Print Copy-Rmb,16307,1000,FALSE,0
General Fund,Community Svcs,Direct Expenses,Rsv-Program,19000,0,FALSE,0
General Fund,Community Svcs,Direct Expenses,Small Equipment,1000,0,FALSE,0
General Fund,Community Svcs,Direct Expenses,Special Projects & Programs,7000,0,FALSE,0
General Fund,Community Svcs,Direct Expenses,Vehicle Maint & Operation,4600,0,FALSE,0
General Fund,Community Svcs,Direct Expenses,Wireless Data Comm,12804,2568,FALSE,0
General Fund,Community Svcs,Employee Benefits,Dental Insurance,10359.56,598.04,FALSE,0
General Fund,Community Svcs,Employee Benefits,Dental Insurance Increment,,812.15,FALSE,0
General Fund,Community Svcs,Employee Benefits,FICA Temp,22799.63,0,FALSE,0
General Fund,Community Svcs,Employee Benefits,Group Life Ad & Di,818.03,10.14,FALSE,0
General Fund,Community Svcs,Employee Benefits,Health Insurance,135450.24,11598.24,FALSE,0
General Fund,Community Svcs,Employee Benefits,Health Insurance Increment,10023.32,19336.99,FALSE,0
General Fund,Community Svcs,Employee Benefits,Medicare,13179.42,163.24,FALSE,0
General Fund,Community Svcs,Employee Benefits,Medicare Temp,5332.17,0,FALSE,0
General Fund,Community Svcs,Employee Benefits,Retirement,65897.08,3060.28,FALSE,0
General Fund,Community Svcs,Employee Benefits,Social Security,56353.35,697.89,FALSE,0
General Fund,Community Svcs,Employee Benefits,Supplemental Retirement,21252.67,337.63,FALSE,0
General Fund,Community Svcs,Interfund Transfers In/Out,To 810 Grants/Grants Match,66280,536,FALSE,0
General Fund,Community Svcs,Miscellaneous,Advertising,450,0,FALSE,0
General Fund,Community Svcs,Miscellaneous,Licenses/Dues & Publications,915,-100,FALSE,0
General Fund,Community Svcs,Miscellaneous,Mileage Reimb,5950,0,FALSE,0
General Fund,Community Svcs,Miscellaneous,Organization Dev & Training,5000,0,FALSE,0
General Fund,Community Svcs,Miscellaneous,Postage - Dept Charges,7000,0,FALSE,0
General Fund,Community Svcs,Miscellaneous,Training & Travel & Reg,11211,0,FALSE,0
General Fund,Community Svcs,Other Expense,Boards & Commissions,48610,0,FALSE,0
General Fund,Community Svcs,Other Expense,Human Service Agencies,20000,0,FALSE,0
General Fund,Community Svcs,Other Expense,Volunteer Recognition - Gr,5200,5200,FALSE,0
General Fund,Community Svcs,Salaries and Wages,Expense Allowance,3221,0,FALSE,0
General Fund,Community Svcs,Salaries and Wages,Longevity,13289.8,-1357.26,FALSE,0
General Fund,Community Svcs,Salaries and Wages,Salaries-Ft,895635.4,12613.81,FALSE,0
General Fund,Community Svcs,Salaries and Wages,Salaries-Pt Temp/Seasonal,364515,0,FALSE,0
General Fund,Community Svcs,Salaries and Wages,Salary Reserve,2652,0,FALSE,0
General Fund,Construction Mgmt,Capital Equipment,Office Furniture & Equip,,-1000,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Cellular/Wireless Voice Lines,,-900,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Computer Lease,,-4835,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Computer Operations & Access,,-5000,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Contractual Svcs-Other,,-25000,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Copier Maintenance/Impressions,,-3219,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Equipment Usage Charge,,-4760,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Motor Fuels & Lubricants,,-8235,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Office Supplies,,-1500,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Operational & Maint Supplies,,-1400,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Photocopy Maint,,-4625,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Print Copy-Rmb,,-1000,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Professional Svcs-Other,,-3600,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Rental-Equipment,,-670,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Repairs-Office Equip,,-125,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Repairs-Other Equip,,-100,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Small Equipment,,-1000,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Telephone/Comm (Hard Lines),,-162,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Vehicle Maint & Operation,,-11000,FALSE,0
General Fund,Construction Mgmt,Direct Expenses,Wireless Data Comm,,-9229,FALSE,0
General Fund,Construction Mgmt,Employee Benefits,Dental Insurance,,-8974.08,FALSE,0
General Fund,Construction Mgmt,Employee Benefits,Dental Insurance Increment,,746.64,FALSE,0
General Fund,Construction Mgmt,Employee Benefits,FICA Temp,,-126.11,FALSE,0
General Fund,Construction Mgmt,Employee Benefits,Group Life Ad & Di,,-903.78,FALSE,0
General Fund,Construction Mgmt,Employee Benefits,Health Insurance,,-102192.48,FALSE,0
General Fund,Construction Mgmt,Employee Benefits,Health Insurance Increment,,7684.87,FALSE,0
General Fund,Construction Mgmt,Employee Benefits,Medicare,,-14561.11,FALSE,0
General Fund,Construction Mgmt,Employee Benefits,Medicare Temp,,-29.49,FALSE,0
General Fund,Construction Mgmt,Employee Benefits,Retirement,,-70294.97,FALSE,0
General Fund,Construction Mgmt,Employee Benefits,Retirement Temp,,-75.78,FALSE,0
General Fund,Construction Mgmt,Employee Benefits,Social Security,,-62261.27,FALSE,0
General Fund,Construction Mgmt,Employee Benefits,Supplemental Retirement,,-25467.12,FALSE,0
General Fund,Construction Mgmt,Miscellaneous,Advertising,,-2000,FALSE,0
General Fund,Construction Mgmt,Miscellaneous,Licenses/Dues & Publications,,-2000,FALSE,0
General Fund,Construction Mgmt,Miscellaneous,Records Storage Retention Svcs,,-1300,FALSE,0
General Fund,Construction Mgmt,Miscellaneous,Training & Travel & Reg,,-7000,FALSE,0
General Fund,Construction Mgmt,Salaries and Wages,Longevity,,-14132.28,FALSE,0
General Fund,Construction Mgmt,Salaries and Wages,Salaries-Ft,,-1028692.57,FALSE,0
General Fund,Construction Mgmt,Salaries and Wages,Salaries-Ot For Ft Staff,,-1024,FALSE,0
General Fund,Construction Mgmt,Salaries and Wages,Salaries-Pt Temp/Seasonal,,-1010,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Capital Equipment,Office Furniture & Equip,1500,1500,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Cellular/Wireless Voice Lines,900,900,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Computer Lease,7130,7130,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Computer Operations & Access,5000,5000,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Contractual Svcs-Other,18000,18000,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Copier Maintenance/Impressions,3219,3219,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Equipment Usage Charge,4760,4760,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Motor Fuels & Lubricants,5795,5795,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Office Supplies,1300,1300,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Operational & Maint Supplies,1625,1625,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Photocopy Maint,4626,4626,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Print Copy-Rmb,1000,1000,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Professional Svcs-Other,2000,2000,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Rental-Equipment,670,670,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Small Equipment,1000,1000,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Telephone/Comm (Hard Lines),162,162,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Vehicle Maint & Operation,8500,8500,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Direct Expenses,Wireless Data Comm,8460,8460,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Employee Benefits,Dental Insurance,8970.88,8970.88,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Employee Benefits,FICA Temp,62,62,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Employee Benefits,Group Life Ad & Di,902.7,902.7,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Employee Benefits,Health Insurance,101700.48,101700.48,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Employee Benefits,Health Insurance Increment,7525.84,7525.84,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Employee Benefits,Medicare,14543.69,14543.69,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Employee Benefits,Medicare Temp,14.5,14.5,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Employee Benefits,Retirement,72718.48,72718.48,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Employee Benefits,Social Security,62186.84,62186.84,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Employee Benefits,Supplemental Retirement,26782,26782,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Miscellaneous,Advertising,1000,1000,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Miscellaneous,Licenses/Dues & Publications,2000,2000,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Miscellaneous,Records Storage Retention Svcs,1500,1500,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Miscellaneous,Training & Travel & Reg,7500,7500,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Salaries and Wages,Longevity,12358.76,12358.76,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Salaries and Wages,Salaries-Ft,990654.65,990654.65,FALSE,0
General Fund,Construction Mgmt-Eng Svcs,Salaries and Wages,Salaries-Pt Temp/Seasonal,1000,1000,FALSE,0
General Fund,Design Development-Eng Svcs,Direct Expenses,Computer Lease,470,470,FALSE,0
General Fund,Design Development-Eng Svcs,Direct Expenses,Motor Fuels & Lubricants,300,300,FALSE,0
General Fund,Design Development-Eng Svcs,Direct Expenses,Office Supplies,50,50,FALSE,0
General Fund,Design Development-Eng Svcs,Direct Expenses,Print Copy-Rmb,20,20,FALSE,0
General Fund,Design Development-Eng Svcs,Direct Expenses,Uniforms,70,70,FALSE,0
General Fund,Design Development-Eng Svcs,Direct Expenses,Vehicle Maint & Operation,900,900,FALSE,0
General Fund,Design Development-Eng Svcs,Direct Expenses,Wireless Data Comm,636,636,FALSE,0
General Fund,Design Development-Eng Svcs,Employee Benefits,Dental Insurance,427.68,427.68,FALSE,0
General Fund,Design Development-Eng Svcs,Employee Benefits,Group Life Ad & Di,69.88,69.88,FALSE,0
General Fund,Design Development-Eng Svcs,Employee Benefits,Health Insurance,4584,4584,FALSE,0
General Fund,Design Development-Eng Svcs,Employee Benefits,Health Insurance Increment,339.22,339.22,FALSE,0
General Fund,Design Development-Eng Svcs,Employee Benefits,Medicare,1125.8,1125.8,FALSE,0
General Fund,Design Development-Eng Svcs,Employee Benefits,Retirement,5628.98,5628.98,FALSE,0
General Fund,Design Development-Eng Svcs,Employee Benefits,Social Security,4813.75,4813.75,FALSE,0
General Fund,Design Development-Eng Svcs,Employee Benefits,Supplemental Retirement,2067.36,2067.36,FALSE,0
General Fund,Design Development-Eng Svcs,Salaries and Wages,Longevity,768.72,768.72,FALSE,0
General Fund,Design Development-Eng Svcs,Salaries and Wages,Salaries-Ft,76872.4,76872.4,FALSE,0
General Fund,Development Engineering Servic,Direct Expenses,Cellular/Wireless Voice Lines,10532,10532,FALSE,0
General Fund,Development Engineering Servic,Direct Expenses,Computer Lease,11168,11168,FALSE,0
General Fund,Development Engineering Servic,Direct Expenses,Equipment Usage Charge,28620,28620,FALSE,0
General Fund,Development Engineering Servic,Direct Expenses,Motor Fuels & Lubricants,11850,11850,FALSE,0
General Fund,Development Engineering Servic,Direct Expenses,Office Supplies,2000,2000,FALSE,0
General Fund,Development Engineering Servic,Direct Expenses,Operational & Maint Supplies,4150,4150,FALSE,0
General Fund,Development Engineering Servic,Direct Expenses,Professional Svcs-Other,2000,2000,FALSE,0
General Fund,Development Engineering Servic,Direct Expenses,Uniforms,1900,1900,FALSE,0
General Fund,Development Engineering Servic,Direct Expenses,Vehicle Maint & Operation,14530,14530,FALSE,0
General Fund,Development Engineering Servic,Direct Expenses,Wireless Data Comm,6984,6984,FALSE,0
General Fund,Development Engineering Servic,Employee Benefits,Dental Insurance,12293.44,12293.44,FALSE,0
General Fund,Development Engineering Servic,Employee Benefits,Group Life Ad & Di,1064.62,1064.62,FALSE,0
General Fund,Development Engineering Servic,Employee Benefits,Health Insurance,142416,142416,FALSE,0
General Fund,Development Engineering Servic,Employee Benefits,Health Insurance Increment,10538.78,10538.78,FALSE,0
General Fund,Development Engineering Servic,Employee Benefits,Medicare,17152.03,17152.03,FALSE,0
General Fund,Development Engineering Servic,Employee Benefits,Retirement,85760.24,85760.24,FALSE,0
General Fund,Development Engineering Servic,Employee Benefits,Social Security,73339.81,73339.81,FALSE,0
General Fund,Development Engineering Servic,Employee Benefits,Supplemental Retirement,27109.06,27109.06,FALSE,0
